"SiteID_WQX","SiteName_WQX","Parameter","SiteID"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Calcium","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Magnesium","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Potassium","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Sodium","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Bromide","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Chloride","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Fluoride","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Sulfate","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Aluminum","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Barium","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Beryllium","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Cadmium","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Chromium","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Cobalt","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Copper","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Iron","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Lead","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Manganese","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Nickel","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Silver","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Thallium","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Vanadium","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Zinc","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Antimony","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Arsenic","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Selenium","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Ammonia","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Nitrate + Nitrite","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Orthophosphate","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Phosphorus","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Total Kjeldahl nitrogen","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Total Nitrogen, mixed forms","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Total Phosphorus, mixed forms","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Organic carbon","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Alkalinity, total","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Hardness, Ca, Mg","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Specific conductance","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Total dissolved solids","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Total suspended solids","OUA0245"
"ARDEQH2O_WQX-OUA0245","Caney Creek off Hwy 200 on Nevada CR10 ~4 miles East of Rosston","Turbidity","OUA0245"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Chlorophyll a","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Calcium","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Magnesium","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Potassium","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Sodium","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Bromide","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Chloride","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Fluoride","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Sulfate","OUA0241"
