"SiteID_WQX","SiteName_WQX","Parameter","SiteID"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Fluoride","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Sulfate","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Aluminum","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Barium","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Beryllium","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Cadmium","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Chromium","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Cobalt","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Copper","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Iron","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Lead","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Manganese","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Nickel","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Silver","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Thallium","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Vanadium","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Zinc","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Antimony","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Arsenic","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Selenium","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Ammonia","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Nitrate + Nitrite","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Orthophosphate","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Phosphorus","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Total Kjeldahl nitrogen","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Total Nitrogen, mixed forms","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Total Phosphorus, mixed forms","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Organic carbon","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Alkalinity, total","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Hardness, Ca, Mg","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Specific conductance","OUA0231"
"ARDEQH2O_WQX-OUA0231","Chatman Creek on Grigsby Ford Road ~3.5 mi SW of Malvern","Total dissolved solids","OUA0231"
